Stat,Round of 64 Win,Round of 64 Games,Round of 32 Win,Round of 32 Games,Sweet 16 Win,Sweet 16 Games,Elite 8 Win,Elite 8 Games,Final Four Win,Final Four Games,Champ Win,Champ Games,Total Win,Total Games
PPG,16,32,9,16,6,8,2,4,1,2,1,1,35,63
ASM,19,32,13,16,4,8,2,4,1,2,1,1,40,63
Off Eff,18,32,8,16,4,8,2,4,0,2,1,1,33,63
Shooting%,15,32,9,16,5,8,2,4,0,2,1,1,32,63
3PS%,16,32,6,16,6,8,2,4,0,2,1,1,31,63
Rebounds,21,32,12,16,2,8,3,4,1,2,1,1,40,63
Turnovers,16,32,4,16,4,8,2,4,0,2,0,1,26,63
FT%,19,32,9,16,6,8,2,4,1,2,1,1,38,63
OPPG,16,32,10,16,4,8,3,4,2,2,0,1,35,63
Def Eff,18,32,12,16,4,8,3,4,1,2,1,1,39,63
2PS%,17,32,12,16,5,8,2,4,0,2,1,1,37,63
Game Location,18,32,6,16,1,8,1,4,0,2,0,1,26,63
OeFG%,19,32,10,16,5,8,2,4,0,2,1,1,37,63
DeFG%,19,32,12,16,4,8,2,4,1,2,1,1,39,63
ORB%,20,32,12,16,2,8,3,4,2,2,1,1,40,63
DRB%,19,32,10,16,4,8,3,4,1,2,1,1,38,63
OTOR%,15,32,5,16,6,8,2,4,0,2,0,1,28,63
DTOR%,16,32,10,16,3,8,2,4,2,2,0,1,33,63
OFTA/FGA,14,32,8,16,4,8,1,4,2,2,0,1,29,63
DFTA/FGA,14,32,10,16,6,8,2,4,0,2,0,1,32,63
Pace,15,32,10,16,5,8,0,4,0,2,1,1,31,63
AdjO,25,32,8,16,4,8,2,4,1,2,1,1,41,63
AdjD,23,32,12,16,3,8,2,4,2,2,0,1,42,63
Net,24,32,11,16,4,8,2,4,1,2,1,1,43,63
SOS,26,32,6,16,3,8,1,4,2,2,1,1,39,63
Elo,21,32,9,16,6,8,1,4,2,2,0,1,39,63
Kenpom,23,32,12,16,4,8,1,4,2,2,1,1,43,63
Sagarin,24,32,11,16,4,8,0,4,2,2,1,1,42,63
Betting,24,32,10,16,5,8,1,4,2,2,1,1,43,63
Favorites,25,32,11,16,4,8,1,4,2,2,1,1,44,63
